team_abbreviation_home,team_abbreviation_away,lambda_h,lambda_a,win_prob,projected_spread
UTA,TOR,107.53,109.87,0.437,2.3
UTA,PHX,113.61,110.19,0.5903,-3.4
UTA,PHI,111.08,110.57,0.5136,-0.5
UTA,POR,111.1,111.6,0.4867,0.5
UTA,SAS,112.23,110.19,0.5542,-2.0
UTA,BKN,111.08,110.41,0.5179,-0.7
UTA,DAL,110.29,109.75,0.5147,-0.5
UTA,SAC,108.65,112.35,0.4017,3.7
UTA,ATL,111.97,114.39,0.4362,2.4
UTA,CHA,112.65,108.06,0.6215,-4.6
UTA,WAS,112.65,108.06,0.6213,-4.6
UTA,NOP,112.22,110.19,0.5541,-2.0
UTA,CHI,112.08,114.39,0.439,2.3
UTA,MEM,111.1,111.6,0.4867,0.5
UTA,MIA,110.03,112.8,0.4265,2.8
UTA,ORL,106.28,108.05,0.452,1.8
UTA,MIL,110.94,113.8,0.4243,2.9
UTA,LAL,105.36,109.87,0.3791,4.5
UTA,DET,110.23,110.76,0.4859,0.5
UTA,LAC,105.72,111.69,0.3428,6.0
UTA,HOU,105.26,111.89,0.3263,6.6
UTA,CLE,105.26,113.28,0.2937,8.0
UTA,GSW,105.11,106.51,0.4615,1.4
UTA,BOS,104.28,109.96,0.349,5.7
UTA,DEN,107.45,109.87,0.4348,2.4
UTA,MIN,105.18,109.71,0.3788,4.5
UTA,NYK,106.47,109.87,0.4086,3.4
UTA,OKC,105.17,111.9,0.3238,6.7
UTA,IND,107.57,112.59,0.3674,5.0
TOR,UTA,117.06,108.79,0.709,-8.3
TOR,PHX,117.55,108.1,0.7354,-9.5
TOR,PHI,114.8,108.34,0.6673,-6.5
TOR,POR,114.82,109.08,0.6493,-5.7
TOR,SAS,116.43,108.54,0.7004,-7.9
TOR,BKN,114.8,108.45,0.6646,-6.4
TOR,DAL,112.92,108.51,0.6165,-4.4
TOR,SAC,111.68,110.06,0.5432,-1.6
TOR,ATL,116.16,111.36,0.6248,-4.8
TOR,CHA,116.87,107.03,0.7446,-9.8
TOR,WAS,116.87,107.03,0.7444,-9.8
TOR,NOP,116.42,108.1,0.7106,-8.3
TOR,CHI,116.27,111.36,0.6276,-4.9
TOR,MEM,114.82,109.95,0.6274,-4.9
TOR,MIA,113.09,110.54,0.5679,-2.6
TOR,ORL,109.53,106.88,0.5716,-2.7
TOR,MIL,114.66,110.88,0.5993,-3.8
TOR,LAL,108.95,107.87,0.5293,-1.1
TOR,DET,113.3,109.92,0.5893,-3.4
TOR,LAC,108.95,109.61,0.4822,0.7
TOR,HOU,108.75,109.66,0.4756,0.9
TOR,CLE,108.63,111.0,0.4366,2.4
TOR,GSW,108.35,106.16,0.5595,-2.2
TOR,BOS,107.47,107.7,0.4937,0.2
TOR,DEN,110.75,107.87,0.5772,-2.9
TOR,MIN,108.55,107.87,0.5186,-0.7
TOR,NYK,110.11,107.87,0.5603,-2.2
TOR,OKC,108.76,109.5,0.48,0.7
TOR,IND,111.72,110.32,0.5372,-1.4
PHX,UTA,110.62,110.71,0.4977,0.1
PHX,TOR,105.99,109.82,0.3971,3.8
PHX,PHI,108.48,110.52,0.4452,2.0
PHX,POR,108.5,111.54,0.4188,3.0
PHX,SAS,109.73,110.14,0.4892,0.4
PHX,BKN,108.48,110.36,0.4496,1.9
PHX,DAL,108.53,109.69,0.4687,1.2
PHX,SAC,107.2,112.29,0.3656,5.1
PHX,ATL,109.48,114.33,0.373,4.8
PHX,CHA,110.15,108.24,0.5515,-1.9
PHX,WAS,110.15,108.24,0.5513,-1.9
PHX,NOP,109.73,110.14,0.489,0.4
PHX,CHI,109.59,114.33,0.3757,4.7
PHX,MEM,108.5,111.54,0.4188,3.0
PHX,MIA,108.27,112.74,0.3818,4.5
PHX,ORL,105.5,108.0,0.432,2.5
PHX,MIL,108.34,113.74,0.3586,5.4
PHX,LAL,104.52,109.82,0.3588,5.3
PHX,DET,108.46,110.7,0.44,2.2
PHX,LAC,104.94,111.64,0.3245,6.7
PHX,HOU,104.43,111.84,0.3072,7.4
PHX,CLE,104.43,113.22,0.2756,8.8
PHX,GSW,104.33,106.51,0.4401,2.2
PHX,BOS,103.51,109.91,0.3308,6.4
PHX,DEN,106.24,109.82,0.4038,3.6
PHX,MIN,104.29,109.65,0.3571,5.4
PHX,NYK,105.63,109.82,0.3878,4.2
PHX,OKC,104.34,111.84,0.3048,7.5
PHX,IND,106.02,112.54,0.3297,6.5
